epoch,step,test_acc,test_loss,test_mcc,train_acc,train_loss,train_mcc,val_acc,val_loss,val_mcc
0,19,,,,,,,0.5822784900665283,0.6451473832130432,0.07281085848808289
0,19,,,,0.5673534274101257,0.6840590238571167,0.07746148854494095,,,
1,39,,,,,,,0.7341772317886353,0.5972919464111328,0.47387486696243286
1,39,,,,0.6323296427726746,0.6387437582015991,0.22494202852249146,,,
2,59,,,,,,,0.8101266026496887,0.5565457344055176,0.6039910316467285
2,59,,,,0.6671949028968811,0.6193709969520569,0.31206196546554565,,,
3,79,,,,,,,0.8101266026496887,0.5149354338645935,0.6210680603981018
3,79,,,,0.7147384881973267,0.5672935247421265,0.39797377586364746,,,
4,99,,,,,,,0.8227847814559937,0.4688797891139984,0.6553906798362732
4,99,,,,0.7622820734977722,0.5102856755256653,0.5137531757354736,,,
5,119,,,,,,,0.8607594966888428,0.3964824676513672,0.7158911228179932
5,119,,,,0.8034865260124207,0.4690386950969696,0.6091994047164917,,,
6,139,,,,,,,0.8607594966888428,0.34360456466674805,0.7158911228179932
6,139,,,,0.8399366140365601,0.40238702297210693,0.6680189371109009,,,
7,159,,,,,,,0.8987341523170471,0.31030306220054626,0.7841802835464478
7,159,,,,0.8589540123939514,0.3536343276500702,0.7154682278633118,,,
8,179,,,,,,,0.8860759735107422,0.3070661723613739,0.7669402956962585
8,179,,,,0.8811410665512085,0.3056947588920593,0.7505205869674683,,,
9,199,,,,,,,0.8860759735107422,0.3068279027938843,0.7623327970504761
9,199,,,,0.8874801993370056,0.30263781547546387,0.7724668979644775,,,
10,219,,,,,,,0.9367088675498962,0.25116124749183655,0.8683475255966187
10,219,,,,0.8985736966133118,0.27157410979270935,0.7973217368125916,,,
11,239,,,,,,,0.9113923907279968,0.26892462372779846,0.814681887626648
11,239,,,,0.928684651851654,0.2208191305398941,0.8535107970237732,,,
12,259,,,,,,,0.8607594966888428,0.3048149049282074,0.7107141017913818
12,259,,,,0.923930287361145,0.21459932625293732,0.8478487133979797,,,
13,279,,,,,,,0.9113923907279968,0.27423790097236633,0.8236180543899536
13,279,,,,0.9207606911659241,0.18711110949516296,0.8372825980186462,,,
14,299,,,,,,,0.8987341523170471,0.33165279030799866,0.7944667935371399
14,299,,,,0.9429476857185364,0.15406429767608643,0.8823348879814148,,,
15,319,,,,,,,0.8987341523170471,0.26436254382133484,0.7908133864402771
15,319,,,,0.9318541884422302,0.18505798280239105,0.8594700694084167,,,
16,339,,,,,,,0.8987341523170471,0.29813796281814575,0.8093593716621399
16,339,,,,0.9445325136184692,0.1568446010351181,0.8830687999725342,,,
17,359,,,,,,,0.8987341523170471,0.2962373197078705,0.8005361557006836
17,359,,,,0.9651346802711487,0.11679667234420776,0.9262827634811401,,,
18,379,,,,,,,0.8734177350997925,0.3068208694458008,0.7519999742507935
18,379,,,,0.9619651436805725,0.12268603593111038,0.9210270047187805,,,
19,399,,,,,,,0.8987341523170471,0.29352790117263794,0.8005361557006836
19,399,,,,0.9714738726615906,0.0923709124326706,0.942986786365509,,,
20,419,,,,,,,0.9367088675498962,0.2854403555393219,0.8696508407592773
20,419,,,,0.9698890447616577,0.10328198969364166,0.9389460682868958,,,
21,439,,,,,,,0.8860759735107422,0.3786756694316864,0.7914705872535706
21,439,,,,0.9698890447616577,0.10933299362659454,0.9390637278556824,,,
22,459,,,,,,,0.8987341523170471,0.3038760721683502,0.8005361557006836
22,459,,,,0.9540411829948425,0.12035958468914032,0.9100160002708435,,,
23,479,,,,,,,0.8607594966888428,0.3713386654853821,0.7204761505126953
23,479,,,,0.9651346802711487,0.09315238893032074,0.9305629730224609,,,
24,499,,,,,,,0.8607594966888428,0.4005986154079437,0.7204761505126953
24,499,,,,0.9698890447616577,0.0927557647228241,0.9407517910003662,,,
25,519,,,,,,,0.8481012582778931,0.35883116722106934,0.7050495147705078
25,519,,,,0.9730586409568787,0.09399343281984329,0.9427143931388855,,,
26,539,,,,,,,0.8860759735107422,0.4105432629585266,0.7847867608070374
26,539,,,,0.9667195081710815,0.08334822207689285,0.932213544845581,,,
27,559,,,,,,,0.9113923907279968,0.3160936236381531,0.814681887626648
27,559,,,,0.9778130054473877,0.07115709036588669,0.9555633068084717,,,
28,579,,,,,,,0.8987341523170471,0.3930912911891937,0.7908133864402771
28,579,,,,0.9793977737426758,0.07556205242872238,0.9589301943778992,,,
29,599,,,,,,,0.8481012582778931,0.41710638999938965,0.7052789926528931
29,599,,,,0.9730586409568787,0.07039535045623779,0.9456360340118408,,,
30,619,,,,,,,0.8860759735107422,0.47955673933029175,0.7847867608070374
30,619,,,,0.9714738726615906,0.07516346126794815,0.9439700841903687,,,
31,639,,,,,,,0.8987341523170471,0.40950703620910645,0.8036152124404907
31,639,,,,0.9793977737426758,0.06505642831325531,0.957844078540802,,,
32,659,,,,,,,0.8987341523170471,0.407277375459671,0.8005361557006836
32,659,,,,0.9778130054473877,0.06158895418047905,0.9528687596321106,,,
33,679,,,,,,,0.8987341523170471,0.4112800061702728,0.8036152124404907
33,679,,,,0.9762282371520996,0.06055590137839317,0.9513576030731201,,,
34,699,,,,,,,0.8987341523170471,0.3757072687149048,0.8001487851142883
34,699,,,,0.9793977737426758,0.050704628229141235,0.9570944309234619,,,
35,719,,,,,,,0.8987341523170471,0.38644999265670776,0.7918943762779236
35,719,,,,0.9730586409568787,0.05852435901761055,0.9438679814338684,,,
36,739,,,,,,,0.9113923907279968,0.36435604095458984,0.8132970333099365
36,739,,,,0.9778130054473877,0.0519455187022686,0.9551202058792114,,,
37,759,,,,,,,0.8734177350997925,0.43554648756980896,0.7468123435974121
37,759,,,,0.9873217344284058,0.048287492245435715,0.9748514890670776,,,
38,779,,,,,,,0.8987341523170471,0.46601128578186035,0.7908133864402771
38,779,,,,0.9889065027236938,0.03453127294778824,0.977476179599762,,,
39,799,,,,,,,0.8860759735107422,0.46085014939308167,0.7720037698745728
39,799,,,,0.9873217344284058,0.036953154951334,0.9744378924369812,,,
40,819,,,,,,,0.9113923907279968,0.4509732127189636,0.814681887626648
40,819,,,,0.9809825420379639,0.04177836328744888,0.9616187810897827,,,
41,839,,,,,,,0.9113923907279968,0.4390811622142792,0.814681887626648
41,839,,,,0.9873217344284058,0.03731853514909744,0.9734453558921814,,,
42,859,,,,,,,0.8860759735107422,0.4627585709095001,0.7677314877510071
42,859,,,,0.9889065027236938,0.030454615131020546,0.9775390625,,,
43,879,,,,,,,0.8987341523170471,0.5043094754219055,0.7908133864402771
43,879,,,,0.9904912710189819,0.035256944596767426,0.9799537658691406,,,
44,899,,,,,,,0.8987341523170471,0.48445603251457214,0.7908133864402771
44,899,,,,0.9873217344284058,0.03107411041855812,0.9736075401306152,,,
45,919,,,,,,,0.9113923907279968,0.4045208692550659,0.8236180543899536
45,919,,,,0.9778130054473877,0.045656654983758926,0.9553632736206055,,,
46,939,,,,,,,0.8860759735107422,0.48828816413879395,0.7805333137512207
46,939,,,,0.9841521382331848,0.03997430205345154,0.96575927734375,,,
47,959,,,,,,,0.8860759735107422,0.5243165493011475,0.77931809425354
47,959,,,,0.9825673699378967,0.043068885803222656,0.9643127918243408,,,
48,979,,,,,,,0.8987341523170471,0.5387845635414124,0.8005361557006836
48,979,,,,0.9857369065284729,0.0313800573348999,0.9692972898483276,,,
49,999,,,,,,,0.9113923907279968,0.4384607672691345,0.823418140411377
49,999,,,,0.9873217344284058,0.038350969552993774,0.974064290523529,,,
50,1000,0.8481012582778931,0.7405343651771545,0.6901129484176636,,,,,,
